11,61.135.169.125,demo
11,8.8.8.8,demo
11,8.8.8.8,john
11,61.135.169.125,oracle
11,8.8.8.8,user
11,103.27.9.1,vasan
12,49.205.64.1,demo
12,49.205.64.1,john
12,49.205.64.1,mary
13,175.136.244.1,demo
13,8.8.8.8,guest
13,175.136.244.1,john
14,61.135.169.125,john
14,8.8.8.8,oracle
14,175.136.244.1,root
14,8.8.8.8,sysadmin
14,175.136.244.1,test
14,49.205.64.1,user
16,175.136.244.1,guest
16,49.205.64.1,root
17,49.205.64.1,guest
18,8.8.8.8,mary
18,175.136.244.1,sysadmin
21,61.135.169.125,admin
21,61.135.169.125,user
22,175.136.244.1,admin
